,Airline,Alliance
0,412,ST
1,321,ST
2,90,ST
3,137,ST
4,596,ST
5,1756,ST
6,1758,ST
7,1946,ST
8,2009,ST
9,3126,ST
10,3090,ST
11,3163,ST
12,3490,ST
13,4533,ST
14,5179,ST
15,5309,ST
16,5484,ST
17,2520,ST
18,96,SA
19,330,SA
20,751,SA
21,218,SA
22,345,SA
23,324,SA
24,28,SA
25,491,SA
26,515,SA
27,1531,SA
28,1889,SA
29,1925,SA
30,2143,SA
31,2091,SA
32,2220,SA
33,3210,SA
34,3320,SA
35,4319,SA
36,4611,SA
37,4435,SA
38,4305,SA
39,4559,SA
40,4869,SA
41,4940,SA
42,4951,SA
43,5209,SA
44,83,SA
45,24,OW
46,1355,OW
47,1680,OW
48,2350,OW
49,2822,OW
50,2987,OW
51,3200,OW
52,3378,OW
53,4089,OW
54,4091,OW
55,4259,OW
56,4329,OW
57,4349,OW
58,4867,OW
