id,name,ascii_name,lat,lon,country,population
0,Tokyo,Tokyo,35.685000,139.751400,JP,35676000
1,New York,New York,40.694300,-73.924900,US,19354922
2,Mexico City,Mexico City,19.442400,-99.131000,MX,19028000
3,Mumbai,Mumbai,19.017000,72.857000,IN,18978000
4,São Paulo,Sao Paulo,-23.558700,-46.625000,BR,18845000
5,Delhi,Delhi,28.670000,77.230000,IN,15926000
6,Shanghai,Shanghai,31.216500,121.436500,CN,14987000
7,Kolkata,Kolkata,22.495000,88.324700,IN,14787000
8,Los Angeles,Los Angeles,34.113900,-118.406800,US,12815475
9,Dhaka,Dhaka,23.723100,90.408600,BD,12797394
10,Buenos Aires,Buenos Aires,-34.602500,-58.397500,AR,12795000
11,Karachi,Karachi,24.870000,66.990000,PK,12130000
12,Cairo,Cairo,30.050000,31.250000,EG,11893000
13,Rio de Janeiro,Rio de Janeiro,-22.925000,-43.225000,BR,11748000
14,Ōsaka,Osaka,34.750000,135.460100,JP,11294000
15,Beijing,Beijing,39.928900,116.388300,CN,11106000
16,Manila,Manila,14.604200,120.982200,PH,11100000
17,Moscow,Moscow,55.752200,37.615500,RU,10452000
18,Istanbul,Istanbul,41.105000,29.010000,TR,10061000
19,Paris,Paris,48.866700,2.333300,FR,9904000
20,Seoul,Seoul,37.566300,126.999700,KR,9796000
21,Lagos,Lagos,6.443300,3.391500,NG,9466000
22,Jakarta,Jakarta,-6.174400,106.829400,ID,9125000
23,Guangzhou,Guangzhou,23.145000,113.325000,CN,8829000
24,Chicago,Chicago,41.837300,-87.686200,US,8675982
25,London,London,51.500000,-0.116700,GB,8567000
26,Lima,Lima,-12.048000,-77.050100,PE,8012000
27,Tehran,Tehran,35.671900,51.424300,IR,7873000
28,Kinshasa,Kinshasa,-4.329700,15.315000,CD,7843000
29,Bogotá,Bogota,4.596400,-74.083300,CO,7772000
30,Shenzhen,Shenzhen,22.552400,114.122100,CN,7581000
31,Wuhan,Wuhan,30.580000,114.270000,CN,7243000
32,Hong Kong,Hong Kong,22.305000,114.185000,HK,7206000
33,Tianjin,Tianjin,39.130000,117.200000,CN,7180000
34,Chennai,Chennai,13.090000,80.280000,IN,7163000
35,Taipei,Taipei,25.035800,121.568300,TW,6900273
36,Bengalūru,Bengaluru,12.970000,77.560000,IN,6787000
37,Bangkok,Bangkok,13.750000,100.516600,TH,6704000
38,Lahore,Lahore,31.560000,74.350000,PK,6577000
39,Chongqing,Chongqing,29.565000,106.595000,CN,6461000
40,Miami,Miami,25.783900,-80.210200,US,6381966
41,Hyderabad,Hyderabad,17.400000,78.480000,IN,6376000
42,Dallas,Dallas,32.793600,-96.766200,US,5733259
43,Santiago,Santiago,-33.450000,-70.667000,CL,5720000
44,Philadelphia,Philadelphia,40.007700,-75.133900,US,5637884
45,Belo Horizonte,Belo Horizonte,-19.915000,-43.915000,BR,5575000
46,Madrid,Madrid,40.400000,-3.683400,ES,5567000
47,Houston,Houston,29.786900,-95.390500,US,5446468
48,Ahmadābād,Ahmadabad,23.030100,72.580000,IN,5375000
49,Ho Chi Minh City,Ho Chi Minh City,10.780000,106.695000,VN,5314000
50,Washington,Washington,38.904700,-77.016300,US,5289420
51,Atlanta,Atlanta,33.762700,-84.422500,US,5228750
52,Toronto,Toronto,43.700000,-79.420000,CA,5213000
53,Singapore,Singapore,1.293000,103.855800,SG,5183700
54,Luanda,Luanda,-8.838300,13.234400,AO,5172900
55,Baghdad,Baghdad,33.338600,44.393900,IQ,5054000
56,Barcelona,Barcelona,41.383300,2.183400,ES,4920000
57,Hāora,Haora,22.580400,88.329900,IN,4841638
58,Shenyang,Shenyang,41.805000,123.450000,CN,4787000
59,Khartoum,Khartoum,15.588100,32.534200,SD,4754000
60,Pune,Pune,18.530000,73.850000,IN,4672000
61,Boston,Boston,42.318800,-71.084600,US,4637537
62,Sydney,Sydney,-33.920000,151.185200,AU,4630000
63,Saint Petersburg,Saint Petersburg,59.939000,30.316000,RU,4553000
