,landmark_id,category,landmark_name,image_url,country_code,lat_long
0,0,http://commons.wikimedia.org/wiki/Category:Seal_Bay_Conservation_Park,Seal Bay Conservation Park ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Seal_Bay_Visitor_Centre.JPG/500px-Seal_Bay_Visitor_Centre.JPG,,"-35.9986, 137.363"
1,1,http://commons.wikimedia.org/wiki/Category:Frances_M._MacKay_House,Building at 10 Follen Street ,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Logo_of_the_United_States_National_Park_Service.svg/500x-Logo_of_the_United_States_National_Park_Service.svg.png,,
2,2,http://commons.wikimedia.org/wiki/Category:Ringsj%C3%B6n,Ringsjön ,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Sunset_over_Ringsj%C3%B6n.jpg/500px-Sunset_over_Ringsj%C3%B6n.jpg,SE,"55.8722, 13.5186"
3,3,http://commons.wikimedia.org/wiki/Category:Takeda-jinja,Takeda Shrine ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/KofuTakedaJinja3.jpg/500px-KofuTakedaJinja3.jpg,JP,"35.6867, 138.5775"
4,4,http://commons.wikimedia.org/wiki/Category:Ieperlee,Ieperlee ,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Kanaal_Ieperlee.JPG/500px-Kanaal_Ieperlee.JPG,BE,"51, 2.8"
5,5,"http://commons.wikimedia.org/wiki/Category:Puffing_Billy_Railway,_Melbourne",Puffing Billy Railway ,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Puffing_billy_in_action_2003.jpg/500px-Puffing_billy_in_action_2003.jpg,,"-37.9075, 145.3567"
6,6,http://commons.wikimedia.org/wiki/Category:Lake_of_the_Clouds,Lake of the Clouds ,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/FullLakeOfTheClouds.JPG/500px-FullLakeOfTheClouds.JPG,,
7,7,http://commons.wikimedia.org/wiki/Category:Ikema_island,Ikema Island ,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Ikemajima_Okinawa_Japan01s3s2010.jpg/500px-Ikemajima_Okinawa_Japan01s3s2010.jpg,JP,"24.9322, 125.2419"
8,8,http://commons.wikimedia.org/wiki/Category:Petersfriedhof_Salzburg,Petersfriedhof ,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Salzburg_Petersfriedhof_mit_Katakomben-4295.jpg/500px-Salzburg_Petersfriedhof_mit_Katakomben-4295.jpg,AT,"47.7967, 13.0456"
9,9,http://commons.wikimedia.org/wiki/Category:New_Valamo,New Valamo ,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/System-search.svg/500x-System-search.svg.png,FI,"62.5631, 28.7906"
10,10,http://commons.wikimedia.org/wiki/Category:Palace_of_Justice_(South_Africa),,//commons.wikimedia.org/wiki/Special:CentralAutoLogin/500rt?type=1x1,,
11,11,http://commons.wikimedia.org/wiki/Category:T%C3%A5starps_kyrka,Tåstarps kyrka ,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Openstreetmap_logo.svg/500x-Openstreetmap_logo.svg.png,,"56.27796, 12.95019"
12,12,http://commons.wikimedia.org/wiki/Category:Sint-Salvatorskathedraal,,//commons.wikimedia.org/wiki/Special:CentralAutoLogin/500rt?type=1x1,,
13,13,http://commons.wikimedia.org/wiki/Category:Gori%C4%8Dane_Mansion,Goričane Mansion ,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Goricane_Manor_-_Slovenia.JPG/500px-Goricane_Manor_-_Slovenia.JPG,SI,"46.141, 14.397"
14,14,http://commons.wikimedia.org/wiki/Category:Matcal_Tower,Matcal Tower ,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Flickr_-_Israel_Defense_Forces_-_Honor_Guard_at_IDF_Headquarters_for_Outgoing_Chief_of_Staff_Lt._Gen._Gabi_Ashkenazi.jpg/500px-Flickr_-_Israel_Defense_Forces_-_Honor_Guard_at_IDF_Headquarters_for_Outgoing_Chief_of_Staff_Lt._Gen._Gabi_Ashkenazi.jpg,IL,"32.0586, 34.7903"
15,15,http://commons.wikimedia.org/wiki/Category:Sacrario_militare_di_Castel_Dante,military shrine of Castel Dante ,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Rovereto_-_Ossario_di_Castel_Dante.jpg/500px-Rovereto_-_Ossario_di_Castel_Dante.jpg,IT,"45.871508, 11.0344"
16,16,http://commons.wikimedia.org/wiki/Category:Panorama_Observation_tower_(Chlebovice),Panorama Observation tower ,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Rozhledna_Panor%C3%A1ma_u_Chlebovic.jpg/500px-Rozhledna_Panor%C3%A1ma_u_Chlebovic.jpg,,"49.65, 18.27"
17,17,http://commons.wikimedia.org/wiki/Category:Pia%C8%9Ba_Roman%C4%83,,//commons.wikimedia.org/wiki/Special:CentralAutoLogin/500rt?type=1x1,,
18,18,http://commons.wikimedia.org/wiki/Category:Monte_Pellegrino_(Palermo),Mount Pellegrino ,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Monte_pellegrino.jpg/500px-Monte_pellegrino.jpg,IT,"38.17, 13.3514"
19,19,http://commons.wikimedia.org/wiki/Category:JGSDF_Public_Information_Center,Japan Ground Self-Defense Force Public Information Center ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/JGSDF_Public_Information_Center20080405-02.JPG/500px-JGSDF_Public_Information_Center20080405-02.JPG,JP,"35.784917, 139.599694"
20,20,http://commons.wikimedia.org/wiki/Category:Wolston_House,Wolston House ,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Wolston_House_from_E_%282009%29.jpg/500px-Wolston_House_from_E_%282009%29.jpg,,"-27.57, 152.9"
21,21,http://commons.wikimedia.org/wiki/Category:San_Bernardino_National_Wildlife_Refuge,San Bernardino National Wildlife Refuge ,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/San_Bernardino_National_Wildlife_Refuge_3.jpg/500px-San_Bernardino_National_Wildlife_Refuge_3.jpg,,
22,22,http://commons.wikimedia.org/wiki/Category:Abney_Park_Cemetery,Abney Park Cemetery ,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Abney_park_east_gate.jpg/500px-Abney_park_east_gate.jpg,,
23,23,http://commons.wikimedia.org/wiki/Category:Simtuna_kyrka,Simtuna kyrka ,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Openstreetmap_logo.svg/500x-Openstreetmap_logo.svg.png,,"59.77331, 16.90074"
24,24,http://commons.wikimedia.org/wiki/Category:Byal_Grad_Fortress,Byalgrad ,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Byal-grad-fortress-1.jpg/500px-Byal-grad-fortress-1.jpg,BG,"41.40722, 25.93211"
25,25,http://commons.wikimedia.org/wiki/Category:Burgruine_Thaur,Burgruine Thaur ,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Burgruine-Thaur-Luftaufnahme--mnolf.jpg/500px-Burgruine-Thaur-Luftaufnahme--mnolf.jpg,,"47.30118, 11.46593"
26,26,http://commons.wikimedia.org/wiki/Category:Quirinal_Palace,Quirinal Palace ,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Quirinale_cortile_interno_Roma.jpg/500px-Quirinale_cortile_interno_Roma.jpg,IT,"41.89932, 12.48686"
27,27,http://commons.wikimedia.org/wiki/Category:Beavertail_State_Park,Beavertail State Park ,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Beavertail_Light_from_the_water_2007.jpg/500px-Beavertail_Light_from_the_water_2007.jpg,,
28,28,"http://commons.wikimedia.org/wiki/Category:Church_of_the_Dormition,_Ternopil","Church of the Dormition, Ternopil ",https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Yurkevych-Andriy-pohoron-5401.jpg/500px-Yurkevych-Andriy-pohoron-5401.jpg,,"49.544573, 25.603391"
